"sec"   "mA"   "mV"
1.519   -617.631042480469   -849.749633789063
1.524   -617.689331054688   -849.825439453125
1.529   -617.689331054688   -849.825439453125
1.535   -617.708679199219   -850.129150390625
1.54   -617.708679199219   -850.129150390625
1.545   -617.747436523438   -850.584533691406
1.55   -617.747436523438   -850.622924804688
1.555   -617.747436523438   -850.622924804688
1.56   -617.689331054688   -850.584533691406
1.566   -617.689331054688   -850.584533691406
1.571   -617.708679199219   -850.546630859375
1.576   -617.708679199219   -850.546630859375
1.581   -617.708679199219   -850.774536132813
1.586   -617.708679199219   -850.774536132813
1.592   -617.708679199219   -850.736633300781
1.597   -617.708679199219   -850.736633300781
1.602   -617.708679199219   -850.736633300781
1.607   -617.650451660156   -850.8125
1.612   -617.650451660156   -850.8125
1.618   -617.669799804688   -851.154113769531
1.623   -617.669799804688   -851.154113769531
1.628   -617.650451660156   -851.230407714844
1.633   -617.650451660156   -851.230407714844
1.638   -617.669799804688   -851.192016601563
1.644   -617.669799804688   -851.192016601563
1.649   -617.689331054688   -851.192016601563
1.654   -617.689331054688   -851.192016601563
1.659   -617.689331054688   -851.192016601563
1.664   -617.708679199219   -851.647888183594
1.669   -617.708679199219   -851.647888183594
1.675   -617.72802734375   -851.989562988281
1.68   -617.72802734375   -851.989562988281
1.685   -617.708679199219   -851.913757324219
1.69   -617.708679199219   -851.913757324219
1.695   -617.689331054688   -852.027465820313
1.701   -617.689331054688   -852.027465820313
1.706   -617.669799804688   -852.25537109375
1.711   -617.669799804688   -852.25537109375
1.716   -617.669799804688   -852.25537109375
1.721   -617.689331054688   -852.406982421875
1.727   -617.689331054688   -852.406982421875
1.732   -617.650451660156   -852.331176757813
1.737   -617.650451660156   -852.331176757813
1.742   -617.708679199219   -852.331176757813
1.747   -617.708679199219   -852.331176757813
1.752   -617.747436523438   -852.406982421875
1.758   -617.747436523438   -852.406982421875
1.763   -617.708679199219   -852.634948730469
1.768   -617.669799804688   -852.710754394531
1.773   -617.669799804688   -852.710754394531
1.778   -617.689331054688   -852.976623535156
1.784   -617.689331054688   -852.976623535156
1.789   -617.689331054688   -852.900756835938
1.794   -617.689331054688   -852.900756835938
1.799   -617.650451660156   -852.976623535156
1.804   -617.650451660156   -852.976623535156
1.809   -617.650451660156   -852.976623535156
1.815   -617.650451660156   -852.976623535156
1.82   -617.650451660156   -853.204528808594
1.825   -617.650451660156   -853.356628417969
1.83   -617.650451660156   -853.356628417969
1.835   -617.689331054688   -853.774108886719
1.841   -617.689331054688   -853.774108886719
1.846   -617.708679199219   -853.698303222656
1.851   -617.708679199219   -853.698303222656
1.856   -617.669799804688   -853.546203613281
1.861   -617.669799804688   -853.546203613281
1.866   -617.650451660156   -853.546203613281
1.872   -617.650451660156   -853.546203613281
1.877   -617.689331054688   -853.546203613281
1.882   -617.72802734375   -853.622009277344
1.887   -617.72802734375   -853.622009277344
1.892   -617.708679199219   -853.81201171875
1.898   -617.708679199219   -853.81201171875
1.903   -617.669799804688   -853.774108886719
1.908   -617.669799804688   -853.774108886719
1.913   -617.669799804688   -854.191589355469
1.918   -617.669799804688   -854.191589355469
1.924   -617.689331054688   -854.381591796875
1.929   -617.689331054688   -854.381591796875
1.934   -617.689331054688   -854.419494628906
1.939   -617.650451660156   -854.343688964844
1.944   -617.650451660156   -854.343688964844
1.95   -617.689331054688   -854.381591796875
1.955   -617.689331054688   -854.381591796875
1.96   -617.72802734375   -854.723266601563
1.965   -617.72802734375   -854.723266601563
1.97   -617.72802734375   -854.6474609375
1.975   -617.72802734375   -854.6474609375
1.981   -617.689331054688   -854.875366210938
1.986   -617.689331054688   -854.875366210938
1.991   -617.650451660156   -854.951171875
1.996   -617.611694335938   -855.179138183594
2.001   -617.611694335938   -855.179138183594
2.008   -617.669799804688   -855.026977539063
2.013   -617.669799804688   -855.026977539063
2.018   -315.542816162109   -439.769439697266
2.023   -315.542816162109   -439.769439697266
2.029   -10.407660484314   -13.4254245758057
